mode,variant,n_candidates,reachable,rank_gt,top1,top5,chamfer_m,iou,best_n_columns,gt_n_columns,best_placement,plan
algo,V1,3963,True,3051,False,False,1.395304411419154,0.13953488372093023,6,43,walls,demo_01
algo,V2,3963,True,3051,False,False,1.395304411419154,0.13953488372093023,6,43,walls,demo_01
algo,V3,3963,True,3051,False,False,1.395304411419154,0.13953488372093023,6,43,walls,demo_01
algo,V4,3963,True,3051,False,False,1.395304411419154,0.13953488372093023,6,43,walls,demo_01
learned,V1,3963,True,4,False,True,0.23024937420414734,0.6744186046511628,29,43,walls,demo_01
learned,V2,3963,True,5,False,True,0.3747381020196375,0.6046511627906976,26,43,walls,demo_01
learned,V3,3963,True,5,False,True,0.23024937420414734,0.6744186046511628,29,43,walls,demo_01
learned,V4,3963,True,5,False,True,0.23024937420414734,0.6744186046511628,29,43,walls,demo_01
algo,V1,3999,True,3572,False,False,0.6104820561010826,0.2361111111111111,17,72,walls,demo_02
algo,V2,3999,True,3572,False,False,0.3209945122819274,0.4166666666666667,30,72,walls,demo_02
algo,V3,3999,True,3572,False,False,0.6104820561010826,0.2361111111111111,17,72,walls,demo_02
algo,V4,3999,True,3572,False,False,0.6104820561010826,0.2361111111111111,17,72,walls,demo_02
learned,V1,3999,True,10,False,False,0.2382677511875763,0.5555555555555556,40,72,walls,demo_02
learned,V2,3999,True,9,False,False,0.2382677511875763,0.5555555555555556,40,72,walls,demo_02
learned,V3,3999,True,9,False,False,0.2382677511875763,0.5555555555555556,40,72,walls,demo_02
learned,V4,3999,True,11,False,False,0.2382677511875763,0.5555555555555556,40,72,walls,demo_02
algo,V1,3996,True,2395,False,False,1.0449848681672773,0.23636363636363636,13,55,walls,demo_03
algo,V2,3996,True,2395,False,False,1.0449848681672773,0.23636363636363636,13,55,walls,demo_03
algo,V3,3996,True,2395,False,False,1.0449848681672773,0.23636363636363636,13,55,walls,demo_03
algo,V4,3996,True,2395,False,False,1.0449848681672773,0.23636363636363636,13,55,walls,demo_03
learned,V1,3996,True,61,False,False,0.31487236732657775,0.6727272727272727,37,55,walls,demo_03
learned,V2,3996,True,61,False,False,0.31487236732657775,0.6727272727272727,37,55,walls,demo_03
learned,V3,3996,True,61,False,False,0.5110882835141303,0.6363636363636364,35,55,walls,demo_03
learned,V4,3996,True,61,False,False,0.5855710489408639,0.36363636363636365,20,55,walls,demo_03
algo,V1,512,True,59,False,False,0.4593654284450784,0.5952380952380952,25,42,walls,demo_04
algo,V2,512,True,59,False,False,0.4593654284450784,0.5952380952380952,25,42,walls,demo_04
algo,V3,512,True,59,False,False,0.4593654284450784,0.5952380952380952,25,42,walls,demo_04
algo,V4,512,True,59,False,False,0.4593654284450784,0.5952380952380952,25,42,walls,demo_04
learned,V1,512,True,2,False,True,0.036874833333333225,0.8333333333333334,35,42,walls,demo_04
learned,V2,512,True,1,True,True,0.0,1.0,42,42,walls,demo_04
learned,V3,512,True,1,True,True,0.0,1.0,42,42,walls,demo_04
learned,V4,512,True,1,True,True,0.0,1.0,42,42,walls,demo_04
algo,V1,4000,True,2165,False,False,1.4864176703092162,0.23076923076923078,15,65,walls,demo_05
algo,V2,4000,True,2165,False,False,1.4864176703092162,0.23076923076923078,15,65,walls,demo_05
algo,V3,4000,True,2165,False,False,1.4864176703092162,0.23076923076923078,15,65,walls,demo_05
algo,V4,4000,True,2165,False,False,1.4864176703092162,0.23076923076923078,15,65,walls,demo_05
learned,V1,4000,True,41,False,False,0.35545776371984805,0.7538461538461538,49,65,walls,demo_05
learned,V2,4000,True,41,False,False,0.35545776371984805,0.7538461538461538,49,65,walls,demo_05
learned,V3,4000,True,41,False,False,0.35545776371984805,0.7538461538461538,49,65,walls,demo_05
learned,V4,4000,True,41,False,False,0.35545776371984805,0.7538461538461538,49,65,walls,demo_05
algo,V1,3935,True,3667,False,False,0.7564455425356104,0.2647058823529412,18,68,lattice,demo_06
algo,V2,3935,True,3667,False,False,0.7564455425356104,0.2647058823529412,18,68,lattice,demo_06
algo,V3,3935,True,3667,False,False,0.7564455425356104,0.2647058823529412,18,68,lattice,demo_06
algo,V4,3935,True,3667,False,False,0.7564455425356104,0.2647058823529412,18,68,lattice,demo_06
learned,V1,3935,True,2,False,True,0.16430882352941187,0.7941176470588235,54,68,walls,demo_06
learned,V2,3935,True,2,False,True,0.16430882352941187,0.7941176470588235,54,68,walls,demo_06
learned,V3,3935,True,2,False,True,0.16430882352941187,0.7941176470588235,54,68,walls,demo_06
learned,V4,3935,True,2,False,True,0.16430882352941187,0.7941176470588235,54,68,walls,demo_06
algo,V1,3975,True,2096,False,False,1.2458760705501837,0.30357142857142855,17,56,walls,demo_07
algo,V2,3975,True,2096,False,False,1.2458760705501837,0.30357142857142855,17,56,walls,demo_07
algo,V3,3975,True,2096,False,False,1.2458760705501837,0.30357142857142855,17,56,walls,demo_07
algo,V4,3975,True,2096,False,False,1.2458760705501837,0.30357142857142855,17,56,walls,demo_07
learned,V1,3975,True,33,False,False,0.3981080789574308,0.6428571428571429,36,56,walls,demo_07
learned,V2,3975,True,33,False,False,0.3981080789574308,0.6428571428571429,36,56,walls,demo_07
learned,V3,3975,True,33,False,False,0.3981080789574308,0.6428571428571429,36,56,walls,demo_07
learned,V4,3975,True,33,False,False,0.3981080789574308,0.6428571428571429,36,56,walls,demo_07
