plan,mode,lambda,rank_gt,top1,top5
demo_01,algo,0.0,3051,False,False
demo_01,algo,0.1,3051,False,False
demo_01,algo,0.3,3051,False,False
demo_01,algo,0.5,3051,False,False
demo_01,algo,1.0,3051,False,False
demo_01,learned,0.0,5,False,True
demo_01,learned,0.1,4,False,True
demo_01,learned,0.3,4,False,True
demo_01,learned,0.5,4,False,True
demo_01,learned,1.0,2,False,True
demo_02,algo,0.0,3572,False,False
demo_02,algo,0.1,3572,False,False
demo_02,algo,0.3,3572,False,False
demo_02,algo,0.5,3572,False,False
demo_02,algo,1.0,3572,False,False
demo_02,learned,0.0,9,False,False
demo_02,learned,0.1,9,False,False
demo_02,learned,0.3,10,False,False
demo_02,learned,0.5,10,False,False
demo_02,learned,1.0,12,False,False
demo_03,algo,0.0,2395,False,False
demo_03,algo,0.1,2395,False,False
demo_03,algo,0.3,2395,False,False
demo_03,algo,0.5,2395,False,False
demo_03,algo,1.0,2395,False,False
demo_03,learned,0.0,61,False,False
demo_03,learned,0.1,61,False,False
demo_03,learned,0.3,61,False,False
demo_03,learned,0.5,61,False,False
demo_03,learned,1.0,61,False,False
demo_04,algo,0.0,59,False,False
demo_04,algo,0.1,59,False,False
demo_04,algo,0.3,59,False,False
demo_04,algo,0.5,59,False,False
demo_04,algo,1.0,59,False,False
demo_04,learned,0.0,1,True,True
demo_04,learned,0.1,1,True,True
demo_04,learned,0.3,2,False,True
demo_04,learned,0.5,2,False,True
demo_04,learned,1.0,2,False,True
demo_05,algo,0.0,2165,False,False
demo_05,algo,0.1,2165,False,False
demo_05,algo,0.3,2165,False,False
demo_05,algo,0.5,2165,False,False
demo_05,algo,1.0,2165,False,False
demo_05,learned,0.0,41,False,False
demo_05,learned,0.1,41,False,False
demo_05,learned,0.3,41,False,False
demo_05,learned,0.5,41,False,False
demo_05,learned,1.0,41,False,False
demo_06,algo,0.0,3667,False,False
demo_06,algo,0.1,3667,False,False
demo_06,algo,0.3,3667,False,False
demo_06,algo,0.5,3667,False,False
demo_06,algo,1.0,3667,False,False
demo_06,learned,0.0,2,False,True
demo_06,learned,0.1,2,False,True
demo_06,learned,0.3,2,False,True
demo_06,learned,0.5,2,False,True
demo_06,learned,1.0,2,False,True
demo_07,algo,0.0,2096,False,False
demo_07,algo,0.1,2096,False,False
demo_07,algo,0.3,2096,False,False
demo_07,algo,0.5,2096,False,False
demo_07,algo,1.0,2096,False,False
demo_07,learned,0.0,33,False,False
demo_07,learned,0.1,33,False,False
demo_07,learned,0.3,33,False,False
demo_07,learned,0.5,33,False,False
demo_07,learned,1.0,33,False,False
