plan,perturbation,kendall_tau,top1_same,top5_overlap,rank_gt
demo_01,nominal,1.0,True,1.0,3051
demo_01,t_density +50%,0.8988454919260098,True,1.0,3560
demo_01,t_density -50%,0.860692475565564,True,1.0,1947
demo_01,t_density dropped,0.686037033880915,True,1.0,801
demo_01,t_span_demand +50%,0.8684698682398252,True,1.0,2870
demo_01,t_span_demand -50%,0.8467097787293698,True,1.0,3190
demo_01,t_span_demand dropped,0.679484244914118,False,0.4,3224
demo_01,t_irregularity +50%,0.8784108888083018,True,1.0,3339
demo_01,t_irregularity -50%,0.8500136866723911,False,1.0,2384
demo_01,t_irregularity dropped,0.6815533589794442,False,0.4,1766
demo_01,t_off_wall +50%,0.9223348533246004,True,1.0,2616
demo_01,t_off_wall -50%,0.8993845519312094,True,1.0,3421
demo_01,t_off_wall dropped,0.7799391978017765,True,1.0,3671
demo_01,t_repetition +50%,0.8952368978930932,True,1.0,2246
demo_01,t_repetition -50%,0.8844088230060416,True,1.0,3574
demo_01,t_repetition dropped,0.7659725504836955,True,0.6,3831
demo_02,nominal,1.0,True,1.0,3572
demo_02,t_density +50%,0.8541561353319821,True,0.6,3921
demo_02,t_density -50%,0.81904355528602,False,0.6,2206
demo_02,t_density dropped,0.6232527366458924,False,0.2,551
demo_02,t_span_demand +50%,0.850803871553181,True,0.6,3117
demo_02,t_span_demand -50%,0.8361283667590234,True,0.6,3816
demo_02,t_span_demand dropped,0.6812935099707894,True,0.4,3901
demo_02,t_irregularity +50%,0.9219885011272829,False,1.0,3530
demo_02,t_irregularity -50%,0.8862797240080406,True,0.6,3604
demo_02,t_irregularity dropped,0.7207440929767209,False,0.2,3610
demo_02,t_off_wall +50%,0.9127563281515727,True,1.0,3331
demo_02,t_off_wall -50%,0.8943975613713334,True,0.6,3774
demo_02,t_off_wall dropped,0.7744501157805709,True,0.2,3902
demo_02,t_repetition +50%,0.8953590323543869,True,0.6,3443
demo_02,t_repetition -50%,0.8764556071484105,False,0.8,3662
demo_02,t_repetition dropped,0.7401236252034495,False,0.2,3718
demo_03,nominal,1.0,True,1.0,2395
demo_03,t_density +50%,0.8863642115206571,True,1.0,3048
demo_03,t_density -50%,0.853885675412584,True,1.0,1533
demo_03,t_density dropped,0.686043239735355,True,0.8,732
demo_03,t_span_demand +50%,0.8719202306186037,False,0.8,2013
demo_03,t_span_demand -50%,0.8521715708198813,True,0.8,2825
demo_03,t_span_demand dropped,0.6966743965492401,False,0.6,3141
demo_03,t_irregularity +50%,0.9041484538355627,True,1.0,2490
demo_03,t_irregularity -50%,0.8773534485674661,True,0.6,2245
demo_03,t_irregularity dropped,0.7255109928451606,False,0.4,2127
demo_03,t_off_wall +50%,0.9375322757049918,True,1.0,2171
demo_03,t_off_wall -50%,0.9189615147061956,True,1.0,2723
demo_03,t_off_wall dropped,0.8192440250012216,True,1.0,3049
demo_03,t_repetition +50%,0.9241201151088511,True,0.8,2194
demo_03,t_repetition -50%,0.9099452393570041,False,0.8,2611
demo_03,t_repetition dropped,0.8102011899258459,False,0.6,2785
demo_04,nominal,1.0,True,1.0,59
demo_04,t_density +50%,0.850889799412916,False,0.8,149
demo_04,t_density -50%,0.8558280332681019,True,1.0,26
demo_04,t_density dropped,0.7322498776908024,False,0.8,11
demo_04,t_span_demand +50%,0.8667288405088065,False,0.8,38
demo_04,t_span_demand -50%,0.8457069471624268,True,0.8,98
demo_04,t_span_demand dropped,0.679916829745597,True,0.6,186
demo_04,t_irregularity +50%,0.8825831702544034,False,0.8,76
demo_04,t_irregularity -50%,0.8538405088062624,True,0.8,53
demo_04,t_irregularity dropped,0.6765074608610568,False,0.4,37
demo_04,t_off_wall +50%,0.865780944227006,True,1.0,42
demo_04,t_off_wall -50%,0.8373440557729943,False,0.8,96
demo_04,t_off_wall dropped,0.6621972847358123,False,0.6,167
demo_04,t_repetition +50%,0.9217068248532291,True,0.8,57
demo_04,t_repetition -50%,0.8659032534246577,False,0.8,92
demo_04,t_repetition dropped,0.6263454011741684,False,0.8,224
demo_05,nominal,1.0,True,1.0,2165
demo_05,t_density +50%,0.853104526131533,True,0.6,3344
demo_05,t_density -50%,0.8164996249062265,True,1.0,872
demo_05,t_density dropped,0.6268387096774194,True,1.0,219
demo_05,t_span_demand +50%,0.8383760940235058,True,0.8,1591
