source,id,confidence,n_load_bearing_walls,n_annotated_columns,n_derived_columns,n_columns,n_lines_x,n_lines_y,footprint_x,footprint_y,area,span_x_mean,span_x_min,span_x_max,span_x_std,span_y_mean,span_y_min,span_y_max,span_y_std,cols_per_karea,aspect_ratio,cov_x,cov_y,regularity,perimeter_cols,interior_cols,interior_ratio,span_ratio_xy
Swiss,1054,verified,108,0,17,17,4,5,9.57,20.02,191.591,3.19,0.71,4.54,1.756,5.005,1.2,8.75,3.2,88.73,0.478,0.55,0.639,0.457,11,6,0.353,0.637
Swiss,42759,verified,34,0,16,16,3,6,8.42,11.11,93.546,4.21,2.76,5.66,1.45,2.222,1.15,4.53,1.353,171.038,0.758,0.344,0.609,0.512,14,2,0.125,1.895
Swiss,42761,verified,28,5,12,17,8,9,8.42,20.13,169.495,1.203,0.13,2.28,0.739,2.516,0.17,6.93,2.23,100.298,0.418,0.615,0.886,0.4,10,7,0.412,0.478
Swiss,42762,verified,21,6,8,14,9,9,8.33,13.51,112.538,1.041,0.04,3.05,0.914,1.689,0.01,5.02,1.86,124.402,0.617,0.878,1.101,0.336,8,6,0.429,0.617
Swiss,42764,verified,29,0,28,28,4,7,8.5,11.51,97.835,2.833,1.11,4.64,1.442,1.918,0.2,4.55,1.81,286.196,0.738,0.509,0.944,0.408,18,10,0.357,1.477
Swiss,399,verified,48,2,24,25,6,6,8.61,11.62,100.048,1.722,0.05,4.61,1.659,2.324,0.05,4.59,1.886,249.88,0.741,0.964,0.812,0.36,16,9,0.36,0.741
Swiss,398,verified,33,4,14,18,6,8,8.42,11.52,96.998,1.684,0.01,3.27,1.11,1.646,0.01,3.25,1.087,185.57,0.731,0.659,0.661,0.431,11,7,0.389,1.023
Swiss,5945,verified,176,0,78,78,11,11,17.48,27.51,480.875,1.748,0.49,4.34,1.065,2.751,0.46,7.99,2.072,162.204,0.635,0.61,0.753,0.423,29,49,0.628,0.635
Swiss,5946,verified,142,0,74,74,9,12,17.39,27.5,478.225,2.174,1.11,4.31,1.253,2.5,0.58,5.59,1.431,154.739,0.632,0.576,0.572,0.465,27,47,0.635,0.87
Swiss,5944,verified,85,0,74,74,11,10,17.42,27.46,478.353,1.742,0.54,4.29,1.045,3.051,0.52,8.02,2.167,154.697,0.634,0.6,0.71,0.433,26,48,0.649,0.571
Swiss,5947,verified,78,0,78,78,9,13,17.39,27.46,477.529,2.174,1.1,4.31,1.251,2.288,0.59,4.74,1.296,163.341,0.633,0.575,0.566,0.467,25,53,0.679,0.95
Swiss,8293,verified,216,0,106,106,13,11,20.26,11.57,234.408,1.688,0.42,5.37,1.346,1.157,0.35,2.24,0.672,452.203,1.751,0.797,0.581,0.42,43,63,0.594,1.459
Swiss,8294,verified,298,0,46,46,11,6,48.29,14.28,689.581,4.829,2.3,15.77,3.99,2.856,1.47,5.26,1.438,66.707,3.382,0.826,0.504,0.429,16,30,0.652,1.691
Swiss,6741,verified,136,0,51,51,6,10,26.0,21.27,553.02,5.2,1.19,10.87,3.454,2.363,0.55,4.17,1.008,92.221,1.222,0.664,0.427,0.478,22,29,0.569,2.2
Swiss,6742,verified,88,0,43,43,8,9,25.77,18.19,468.756,3.681,0.86,12.39,3.823,2.274,0.59,3.08,0.809,91.732,1.417,1.039,0.356,0.418,15,28,0.651,1.619
Swiss,8030,verified,465,0,205,205,18,16,18.58,24.32,451.866,1.093,0.4,2.51,0.593,1.621,0.44,4.49,1.086,453.675,0.764,0.543,0.67,0.452,54,151,0.737,0.674
Swiss,8006,verified,132,0,128,128,17,9,19.7,16.2,319.14,1.231,0.38,3.08,0.771,2.025,0.45,4.62,1.448,401.078,1.216,0.626,0.715,0.427,46,82,0.641,0.608
Swiss,7992,verified,77,0,186,186,15,16,19.79,24.4,482.876,1.414,0.41,2.6,0.635,1.627,0.43,4.5,1.203,385.192,0.811,0.449,0.74,0.457,58,128,0.688,0.869
Swiss,8029,verified,69,3,115,118,15,15,19.46,23.98,466.651,1.39,0.15,2.93,0.884,1.713,0.02,4.07,1.202,252.866,0.812,0.636,0.702,0.428,46,72,0.61,0.812
Swiss,8005,verified,65,0,122,122,16,9,19.5,16.03,312.585,1.3,0.38,3.05,0.778,2.004,0.45,4.58,1.434,390.294,1.216,0.599,0.715,0.432,44,78,0.639,0.649
Swiss,7990,verified,445,0,205,205,18,16,18.57,24.3,451.251,1.092,0.41,2.5,0.59,1.62,0.44,4.48,1.082,454.293,0.764,0.54,0.668,0.453,54,151,0.737,0.674
Swiss,7991,verified,260,0,142,142,16,14,21.43,16.15,346.094,1.429,0.54,3.21,0.636,1.242,0.38,3.35,0.789,410.293,1.327,0.445,0.635,0.481,34,108,0.761,1.15
Swiss,8004,verified,558,0,201,201,18,16,19.66,24.3,477.738,1.156,0.48,2.41,0.573,1.62,0.42,4.48,1.244,420.733,0.809,0.495,0.768,0.442,54,147,0.731,0.714
Swiss,7995,verified,65,0,122,122,16,9,19.61,16.12,316.113,1.307,0.38,3.07,0.781,2.015,0.46,4.6,1.441,385.938,1.217,0.598,0.715,0.432,44,78,0.639,0.649
Swiss,8032,verified,32,0,75,75,13,7,18.39,7.93,145.833,1.532,0.38,4.35,1.158,1.322,0.44,2.45,0.681,514.288,2.319,0.756,0.515,0.44,36,39,0.52,1.16
Swiss,7989,verified,69,3,115,118,15,16,19.67,24.22,476.407,1.405,0.15,2.96,0.895,1.615,0.01,4.1,1.247,247.687,0.812,0.637,0.772,0.415,46,72,0.61,0.87
Swiss,7993,verified,69,3,122,125,15,16,19.45,23.96,466.022,1.389,0.14,2.94,0.914,1.597,0.02,4.06,1.187,268.228,0.812,0.658,0.743,0.417,48,77,0.616,0.87
Swiss,7998,verified,74,0,183,183,14,17,19.45,23.98,466.411,1.496,0.4,2.81,0.69,1.499,0.42,4.41,1.132,392.358,0.811,0.461,0.756,0.451,58,125,0.683,0.998
Swiss,8002,verified,77,0,186,186,15,16,19.78,24.39,482.434,1.413,0.41,2.6,0.634,1.626,0.43,4.49,1.202,385.545,0.811,0.449,0.739,0.457,58,128,0.688,0.869
Swiss,8031,verified,260,0,142,142,16,14,21.39,16.11,344.593,1.426,0.54,3.21,0.637,1.239,0.38,3.34,0.787,412.08,1.328,0.446,0.635,0.48,34,108,0.761,1.151
Swiss,8003,verified,68,3,122,125,15,17,19.48,24.0,467.52,1.391,0.15,2.94,0.912,1.5,0.01,4.07,1.213,267.368,0.812,0.655,0.809,0.406,48,77,0.616,0.928
Swiss,7988,verified,77,0,183,183,14,17,19.44,23.96,465.782,1.495,0.41,2.8,0.685,1.498,0.42,4.41,1.132,392.887,0.811,0.458,0.756,0.452,58,125,0.683,0.999
Swiss,7997,verified,39,0,75,75,11,9,18.24,12.37,225.629,1.824,0.57,4.32,1.18,1.546,0.46,4.52,1.219,332.404,1.475,0.647,0.788,0.411,26,49,0.653,1.18
Swiss,8007,verified,40,0,83,83,12,9,18.75,12.71,238.313,1.705,0.59,4.44,1.101,1.589,0.47,4.64,1.251,348.282,1.475,0.646,0.788,0.411,28,55,0.663,1.073
Swiss,5805,verified,218,24,85,85,6,23,19.05,65.88,1255.014,3.81,3.67,4.11,0.164,2.995,1.57,6.08,1.502,67.728,0.289,0.043,0.501,0.647,19,66,0.776,1.272
Swiss,5758,verified,147,0,76,76,7,17,20.18,65.21,1315.938,3.363,1.77,3.76,0.716,4.076,1.98,6.55,2.082,57.753,0.309,0.213,0.511,0.58,19,57,0.75,0.825
