experiment,split,train,test,n_test,roc_auc,pr_auc,accuracy
grouped-split,0,pooled,pooled,4984,0.8679384785728457,0.8417085846427526,0.7895264847512039
grouped-split,0,pooled,CubiCasa,1678,0.7785532751544564,0.7564464382557148,0.700834326579261
grouped-split,0,pooled,Swiss,3306,0.9026064545973901,0.8745824870723273,0.8345432546884453
stump-baseline,0,pooled,aspect_ratio,4984,0.5142455858747993,0.5076414783718155,0.5142455858747994
stump-baseline,0,pooled,cov_x,4984,0.6595104333868379,0.5983655475625906,0.6595104333868379
stump-baseline,0,pooled,cov_y,4984,0.6498796147672552,0.5924171836295127,0.6498796147672552
stump-baseline,0,pooled,regularity,4984,0.6673354735152488,0.6040948130034847,0.6673354735152488
stump-baseline,0,pooled,interior_ratio,4984,0.6601123595505618,0.5966238227889412,0.6601123595505618
stump-baseline,0,pooled,span_ratio_xy,4984,0.5553772070626003,0.5293659640612911,0.5553772070626003
stump-best,0,pooled,best=regularity,4984,0.6673354735152488,0.6040948130034847,0.6673354735152488
grouped-split,1,pooled,pooled,4984,0.8559752363260669,0.8240770662454876,0.7780898876404494
grouped-split,1,pooled,CubiCasa,1694,0.7666379986869415,0.7383722255125682,0.6959858323494688
grouped-split,1,pooled,Swiss,3290,0.8934172818063395,0.8605969669933855,0.8203647416413374
stump-baseline,1,pooled,aspect_ratio,4984,0.5082263242375602,0.5052011598405219,0.5082263242375602
stump-baseline,1,pooled,cov_x,4984,0.6651284109149277,0.6035949516943853,0.6651284109149278
stump-baseline,1,pooled,cov_y,4984,0.6605136436597112,0.6026592843085312,0.6605136436597111
stump-baseline,1,pooled,regularity,4984,0.6777688603531301,0.6128065459531253,0.67776886035313
stump-baseline,1,pooled,interior_ratio,4984,0.6699438202247191,0.6038868136248874,0.6699438202247191
stump-baseline,1,pooled,span_ratio_xy,4984,0.5499598715890851,0.5263418810568243,0.5499598715890851
stump-best,1,pooled,best=regularity,4984,0.6777688603531301,0.6128065459531253,0.67776886035313
grouped-split,2,pooled,pooled,4984,0.8552964188452807,0.8237136376067635,0.7758828250401284
grouped-split,2,pooled,CubiCasa,1658,0.7696695918898901,0.7418113632638761,0.695416164053076
grouped-split,2,pooled,Swiss,3326,0.889611685696506,0.8569116282127855,0.8159951894167168
stump-baseline,2,pooled,aspect_ratio,4984,0.5066211878009631,0.5039494804426797,0.5066211878009631
stump-baseline,2,pooled,cov_x,4984,0.6577046548956662,0.5994704010918772,0.6577046548956661
stump-baseline,2,pooled,cov_y,4984,0.6649277688603531,0.6052872221411547,0.6649277688603531
stump-baseline,2,pooled,regularity,4984,0.6859951845906901,0.6211060918251086,0.6859951845906902
stump-baseline,2,pooled,interior_ratio,4984,0.6695425361155698,0.6036864308538843,0.6695425361155698
stump-baseline,2,pooled,span_ratio_xy,4984,0.553370786516854,0.5282447769593807,0.5533707865168539
stump-best,2,pooled,best=regularity,4984,0.6859951845906901,0.6211060918251086,0.6859951845906902
grouped-split,3,pooled,pooled,4984,0.8625929620049005,0.8356281167902075,0.7798956661316212
grouped-split,3,pooled,CubiCasa,1646,0.7785869200934847,0.7541605445744486,0.6998784933171325
grouped-split,3,pooled,Swiss,3338,0.8956897730834111,0.8672801288573191,0.8193529059316956
stump-baseline,3,pooled,aspect_ratio,4984,0.5060192616372392,0.5035285326838989,0.5060192616372392
stump-baseline,3,pooled,cov_x,4984,0.6623194221508829,0.6007884722892028,0.6623194221508828
stump-baseline,3,pooled,cov_y,4984,0.6520866773675763,0.5952569555912253,0.6520866773675762
stump-baseline,3,pooled,regularity,4984,0.6789727126805778,0.6131583106272218,0.6789727126805778
stump-baseline,3,pooled,interior_ratio,4984,0.6603130016051364,0.5968305555126052,0.6603130016051364
stump-baseline,3,pooled,span_ratio_xy,4984,0.5561797752808989,0.5298315104348086,0.5561797752808989
stump-best,3,pooled,best=regularity,4984,0.6789727126805778,0.6131583106272218,0.6789727126805778
grouped-split,4,pooled,pooled,4984,0.8658386612440709,0.8303618003496489,0.7915329052969502
grouped-split,4,pooled,CubiCasa,1604,0.7785228325694493,0.7443366140469251,0.7038653366583542
grouped-split,4,pooled,Swiss,3380,0.8998039284338784,0.8652565739840218,0.8331360946745562
stump-baseline,4,pooled,aspect_ratio,4984,0.5076243980738363,0.5042565657958227,0.5076243980738363
stump-baseline,4,pooled,cov_x,4984,0.6691412520064206,0.6066907121715956,0.6691412520064205
stump-baseline,4,pooled,cov_y,4984,0.6671348314606742,0.6067172851361804,0.6671348314606742
stump-baseline,4,pooled,regularity,4984,0.6869983948635634,0.619434093862264,0.6869983948635634
stump-baseline,4,pooled,interior_ratio,4984,0.6693418940609952,0.6033979594240353,0.6693418940609952
stump-baseline,4,pooled,span_ratio_xy,4984,0.5531701444622793,0.5281317339526,0.5531701444622793
stump-best,4,pooled,best=regularity,4984,0.6869983948635634,0.619434093862264,0.6869983948635634
leave-one-source-out,0,Swiss,CubiCasa,8410,0.6732897108787032,0.6079364110872618,0.6501783590963139
leave-one-source-out,0,CubiCasa,Swiss,16510,0.8048030432155538,0.7268433229028393,0.6326468806783767
per-negative-kind,0,pooled,transplant,612,0.6676528289218309,0.8842879547870731,0.7609536082474226
per-negative-kind,0,pooled,jitter,616,0.9597123131683726,0.9892689416493764,0.8735521235521235
per-negative-kind,0,pooled,shear,656,0.9564536394511217,0.9839838626028465,0.8773824650571792
per-negative-kind,0,pooled,dropout,608,0.8810572120258512,0.9647973130337408,0.837741935483871
