model,split,train,test,n_test,seconds,roc_auc,pr_auc,accuracy
ML2 CNN on pictures,0,pooled,pooled,4984,94.500883102417,0.9921292276536924,0.992350120102968,0.9556581059390048
ML2 CNN on pictures,0,pooled,CubiCasa,1678,,0.9847965893900026,0.9843300707511854,0.934445768772348
ML2 CNN on pictures,0,pooled,Swiss,3306,,0.995129938453577,0.9954525114729535,0.9664246823956444
ML1 boosting on features (paired),0,pooled,pooled,4984,4.953052759170532,0.8679384785728457,0.8417085846427526,0.7895264847512039
ML2 CNN on pictures,1,pooled,pooled,4984,124.35285902023315,0.9978682184273784,0.9977657451149646,0.9779293739967896
ML2 CNN on pictures,1,pooled,CubiCasa,1694,,0.993930240629822,0.9925689880561852,0.9687131050767416
ML2 CNN on pictures,1,pooled,Swiss,3290,,0.9991238070601712,0.9991456264166028,0.982674772036474
ML1 boosting on features (paired),1,pooled,pooled,4984,4.970977067947388,0.8559752363260669,0.8240770662454876,0.7780898876404494
ML2 CNN on pictures,2,pooled,pooled,4984,123.3582911491394,0.9958560008399268,0.996129173125847,0.9662921348314608
ML2 CNN on pictures,2,pooled,CubiCasa,1658,,0.9918165534361308,0.9918978368223256,0.951145958986731
ML2 CNN on pictures,2,pooled,Swiss,3326,,0.9975005143606976,0.9977392351787424,0.9738424533974744
ML1 boosting on features (paired),2,pooled,pooled,4984,4.987450122833252,0.8552964188452807,0.8237136376067635,0.7758828250401284
ML2 CNN on pictures,0,Swiss,CubiCasa,8410,,0.983102076826608,0.9830835243269876,0.9321046373365042
ML1 boosting on features (paired),0,Swiss,CubiCasa,8410,,0.6732897108787032,0.6079364110872618,0.6501783590963139
ML2 CNN on pictures,0,CubiCasa,Swiss,16510,,0.9881006353728684,0.9892583922006885,0.9520290732889158
ML1 boosting on features (paired),0,CubiCasa,Swiss,16510,,0.8048030432155538,0.7268433229028393,0.6326468806783767
"ML2 CNN, columns only",0,pooled,pooled,4984,,0.8856120484426568,0.8416802730559507,0.82223113964687
"ML2 CNN, columns only",1,pooled,pooled,4984,,0.8517029776182661,0.782349673096673,0.7929373996789727
"ML2 CNN, columns only",2,pooled,pooled,4984,,0.8844499026096994,0.8323707355516361,0.8226324237560193
"ML2 CNN, columns only",0,Swiss,CubiCasa,8410,,0.7705167818731169,0.6535106620648075,0.6714625445897741
"ML2 CNN, columns only",0,CubiCasa,Swiss,16510,,0.7692176281393983,0.6985732947014902,0.6356147789218656
