train_rows,size_label,model,kind,test_rows,accuracy,roc_auc,pr_auc,train_seconds
400,400,"VQC, one encoding, 2 layers",quantum,4984,0.6986356340288925,0.7414025845788385,0.6673171902258902,1.1
400,400,"data re-uploading, 6 layers",quantum,4984,0.6938202247191011,0.7407790805376563,0.6771675251633427,6.3
400,400,"logistic, same 4 measurements (capacity-matched)",classical,4984,0.6966292134831461,0.7469977765124481,0.6767300238132133,0.0
400,400,"boosting, same 4 measurements",classical,4984,0.6498796147672552,0.704876713025824,0.6409065343381658,0.1
400,400,"boosting, all 6 measurements",classical,4984,0.7150882825040128,0.7903193107188589,0.7423167260359398,0.1
2000,2000,"VQC, one encoding, 2 layers",quantum,4984,0.6920144462279294,0.7514662489790765,0.6787084660971845,4.3
2000,2000,"data re-uploading, 6 layers",quantum,4984,0.7014446227929374,0.7612277425804306,0.7012515857848248,26.8
2000,2000,"logistic, same 4 measurements (capacity-matched)",classical,4984,0.7010433386837881,0.7486999328831393,0.6781881383473063,0.0
2000,2000,"boosting, same 4 measurements",classical,4984,0.695024077046549,0.7531544763467816,0.6875969194492193,0.3
2000,2000,"boosting, all 6 measurements",classical,4984,0.7654494382022472,0.8410332808164295,0.8005811102081133,0.5
8000,8000,"VQC, one encoding, 2 layers",quantum,4984,0.6938202247191011,0.7336642585326013,0.6497533633042858,16.9
8000,8000,"data re-uploading, 6 layers",quantum,4984,0.7008426966292135,0.7558791664626966,0.7018611630040814,106.8
8000,8000,"logistic, same 4 measurements (capacity-matched)",classical,4984,0.7004414125200642,0.7458669508075924,0.6733303505351029,0.0
8000,8000,"boosting, same 4 measurements",classical,4984,0.7180979133226324,0.7792033222201896,0.721954807729724,1.3
8000,8000,"boosting, all 6 measurements",classical,4984,0.7859149277688604,0.859595488870968,0.824841609880863,1.9
19936,all,"VQC, one encoding, 2 layers",quantum,4984,0.6890048154093098,0.748394299962126,0.6811197721974875,40.3
19936,all,"data re-uploading, 6 layers",quantum,4984,0.7040529695024077,0.7462293464286358,0.6825467023639289,251.4
19936,all,"logistic, same 4 measurements (capacity-matched)",classical,4984,0.6996388443017657,0.7460926328617548,0.6735306544476737,0.0
19936,all,"boosting, same 4 measurements",classical,4984,0.7299357945425361,0.7890091792934824,0.7280265112332103,3.1
19936,all,"boosting, all 6 measurements",classical,4984,0.7887239165329053,0.8650466404210971,0.8350997152081687,4.8
