split,scope,kind,pairs,gt_ranked_better
0,train,all,42174,0.8895765163370797
0,test,all,10550,0.8859715639810427
0,test,CubiCasa,3097,0.8146593477558928
0,test,Swiss,7453,0.9156044545820475
0,test,lattice-full,2220,0.9572072072072072
0,test,lattice-subset,4087,0.9831172008808416
0,test,walls-subset,4243,0.7551260900306387
1,train,all,42151,0.899575336290954
1,test,all,10573,0.8948264447176771
1,test,CubiCasa,3132,0.8218390804597702
1,test,Swiss,7441,0.9255476414460422
1,test,lattice-full,2220,0.954954954954955
1,test,lattice-subset,4056,0.9824950690335306
1,test,walls-subset,4297,0.781010006981615
2,train,all,42172,0.8886939201365835
2,test,all,10552,0.8887414708112206
2,test,CubiCasa,3171,0.8117313150425733
2,test,Swiss,7381,0.9218263107979948
2,test,lattice-full,2220,0.9608108108108108
2,test,lattice-subset,4087,0.9831172008808416
2,test,walls-subset,4245,0.760188457008245
3,train,all,42169,0.8968910811259456
3,test,all,10555,0.898531501657982
3,test,CubiCasa,2889,0.8172377985462098
3,test,Swiss,7666,0.9291677537177145
3,test,lattice-full,2220,0.9576576576576576
3,test,lattice-subset,4061,0.985471558729377
3,test,walls-subset,4274,0.785212915301825
4,train,all,42174,0.8998435054773083
4,test,all,10550,0.9
4,test,CubiCasa,2994,0.8343353373413493
4,test,Swiss,7556,0.926019057702488
4,test,lattice-full,2220,0.959009009009009
4,test,lattice-subset,4119,0.9878611313425588
4,test,walls-subset,4211,0.7829494181904536
