source,id,confidence,columns,annotated
Swiss,1054,verified,-5.72 -1.27;-5.72 1.27;-5.01 -10.00;-5.01 -2.47;-5.01 -1.27;-5.01 1.27;-5.01 10.02;-0.47 -10.00;-0.47 -2.47;-0.47 -1.27;-0.47 1.27;-0.47 10.02;3.85 -10.00;3.85 -2.47;3.85 -1.27;3.85 1.27;3.85 10.02,
Swiss,42759,verified,-4.16 -1.05;-4.16 1.96;-4.16 3.13;-4.16 4.28;-4.16 5.53;-4.16 10.06;-1.40 -1.05;-1.40 1.96;-1.40 3.13;-1.40 10.06;4.26 -1.05;4.26 1.96;4.26 3.13;4.26 4.28;4.26 5.53;4.26 10.06,
Swiss,42761,verified,-4.16 -1.05;-4.16 1.96;-4.16 3.13;-4.16 10.06;-3.49 -8.69;-1.40 -1.05;-1.40 1.96;-1.40 3.13;-1.40 10.06;0.88 -3.45;1.01 -10.07;2.29 -1.39;3.69 -3.62;4.26 -1.05;4.26 1.96;4.26 3.13;4.26 10.06,2.29 -1.39;0.88 -3.45;1.01 -10.07;3.69 -3.62;-3.49 -8.69
Swiss,42762,verified,-4.08 2.05;-4.08 6.43;-4.08 6.86;-3.40 -5.28;-0.35 6.43;-0.35 6.86;0.94 -0.06;1.04 -6.65;2.32 1.94;3.76 -0.25;3.80 -5.27;4.25 2.05;4.25 6.43;4.25 6.86,3.80 -5.27;3.76 -0.25;1.04 -6.65;2.32 1.94;-3.40 -5.28;0.94 -0.06
Swiss,42764,verified,-4.23 -4.99;-4.23 -0.44;-4.23 -0.12;-4.23 0.78;-4.23 2.01;-4.23 2.21;-4.23 6.52;-1.48 -4.99;-1.48 -0.44;-1.48 -0.12;-1.48 0.78;-1.48 2.01;-1.48 2.21;-1.48 6.52;-0.37 -4.99;-0.37 -0.44;-0.37 -0.12;-0.37 0.78;-0.37 2.01;-0.37 2.21;-0.37 6.52;4.27 -4.99;4.27 -0.44;4.27 -0.12;4.27 0.78;4.27 2.01;4.27 2.21;4.27 6.52,
Swiss,399,verified,-4.28 -5.08;-4.28 -0.52;-4.28 0.72;-4.28 1.95;-4.28 6.54;-3.91 -5.08;-3.91 -0.52;-3.91 0.72;-3.91 1.95;-3.91 6.54;-1.49 -5.08;-1.49 -0.52;-1.49 0.72;-1.49 1.95;-1.49 6.54;-0.33 1.90;-0.28 -5.08;-0.28 -0.52;-0.28 0.72;-0.28 6.54;4.33 -5.08;4.33 -0.52;4.33 0.72;4.33 1.95;4.33 6.54,-0.33 1.90;-0.33 1.90
Swiss,398,verified,-3.99 -5.75;-3.99 -1.19;-3.99 0.02;-3.99 1.17;-3.99 5.77;-2.62 -4.39;-2.62 4.42;-0.16 -5.75;-0.16 -1.19;-0.16 0.02;-0.16 1.17;-0.16 5.77;3.11 -4.40;3.12 4.42;4.43 -5.75;4.43 -1.19;4.43 1.17;4.43 5.77,3.12 4.42;-2.62 4.42;-2.62 -4.39;3.11 -4.40
Swiss,5945,verified,-8.22 -14.04;-8.22 -6.05;-8.22 1.68;-8.22 3.21;-8.22 13.47;-7.13 -14.04;-7.13 -6.05;-7.13 -3.68;-7.13 -1.66;-7.13 -0.88;-7.13 5.59;-7.13 6.05;-7.13 8.72;-7.13 13.47;-2.79 -14.04;-2.79 -6.05;-2.79 -3.68;-2.79 -1.66;-2.79 -0.88;-2.79 1.68;-2.79 3.21;-2.79 5.59;-2.79 6.05;-2.79 8.72;-2.79 13.47;-1.43 -14.04;-1.43 -1.66;-1.43 -0.88;-1.43 13.47;-0.94 -14.04;-0.94 -3.68;-0.94 -1.66;-0.94 13.47;0.60 -14.04;0.60 -1.66;0.60 1.68;0.60 3.21;0.60 8.72;0.60 13.47;2.14 -14.04;2.14 -6.05;2.14 -3.68;2.14 -0.88;2.14 1.68;2.14 3.21;2.14 5.59;2.14 6.05;2.14 8.72;2.14 13.47;5.19 -14.04;5.19 -6.05;5.19 -3.68;5.19 -0.88;5.19 5.59;5.19 6.05;5.19 8.72;5.19 13.47;6.41 -14.04;6.41 -6.05;6.41 -3.68;6.41 -1.66;6.41 -0.88;6.41 1.68;6.41 5.59;6.41 6.05;6.41 13.47;7.52 -14.04;7.52 -6.05;7.52 1.68;7.52 5.59;7.52 6.05;7.52 13.47;9.26 1.68;9.26 3.21;9.26 5.59;9.26 6.05;9.26 8.72;9.26 13.47,
Swiss,5946,verified,-8.21 -14.02;-8.21 -9.97;-8.21 -6.03;-8.21 1.66;-8.21 3.21;-8.21 3.79;-8.21 13.48;-7.09 -14.02;-7.09 -9.97;-7.09 -6.03;-7.09 -3.47;-7.09 -1.63;-7.09 -0.84;-7.09 3.79;-7.09 5.58;-7.09 7.89;-7.09 13.48;-2.78 -14.02;-2.78 -9.97;-2.78 -6.03;-2.78 -3.47;-2.78 -1.63;-2.78 -0.84;-2.78 1.66;-2.78 3.21;-2.78 3.79;-2.78 5.58;-2.78 7.89;-2.78 13.48;-1.25 -14.02;-1.25 -9.97;-1.25 -3.47;-1.25 -1.63;-1.25 3.21;-1.25 13.48;0.49 -14.02;0.49 -3.47;0.49 -1.63;0.49 -0.84;0.49 3.21;0.49 3.79;0.49 7.89;0.49 13.48;2.13 -14.02;2.13 -9.97;2.13 -6.03;2.13 -3.47;2.13 -0.84;2.13 1.66;2.13 3.21;2.13 3.79;2.13 5.58;2.13 7.89;2.13 13.48;6.44 -14.02;6.44 -9.97;6.44 -6.03;6.44 -3.47;6.44 -1.63;6.44 -0.84;6.44 1.66;6.44 5.58;6.44 13.48;7.55 -14.02;7.55 -6.03;7.55 1.66;7.55 5.58;7.55 13.48;9.18 1.66;9.18 3.21;9.18 3.79;9.18 5.58;9.18 7.89;9.18 13.48,
Swiss,5944,verified,-8.27 -14.01;-8.27 -5.99;-8.27 1.65;-8.27 13.45;-7.15 -14.01;-7.15 -5.99;-7.15 -3.51;-7.15 -2.02;-7.15 -0.85;-7.15 -0.33;-7.15 5.54;-7.15 8.67;-7.15 13.45;-2.86 -14.01;-2.86 -5.99;-2.86 -3.51;-2.86 -2.02;-2.86 -0.85;-2.86 -0.33;-2.86 1.65;-2.86 5.54;-2.86 8.67;-2.86 13.45;-1.46 -14.01;-1.46 -2.02;-1.46 -0.33;-1.46 5.54;-1.46 13.45;-0.92 -14.01;-0.92 -3.51;-0.92 -2.02;-0.92 -0.33;-0.92 13.45;0.67 -14.01;0.67 -3.51;0.67 -2.02;0.67 8.67;0.67 13.45;2.11 -14.01;2.11 -5.99;2.11 -3.51;2.11 -2.02;2.11 -0.85;2.11 -0.33;2.11 1.65;2.11 5.54;2.11 8.67;2.11 13.45;5.14 -14.01;5.14 -5.99;5.14 -3.51;5.14 -0.85;5.14 -0.33;5.14 5.54;5.14 8.67;5.14 13.45;6.36 -14.01;6.36 -5.99;6.36 -3.51;6.36 -2.02;6.36 -0.85;6.36 -0.33;6.36 1.65;6.36 5.54;6.36 13.45;7.45 -14.01;7.45 -5.99;7.45 1.65;7.45 5.54;7.45 13.45;9.15 1.65;9.15 5.54;9.15 8.67;9.15 13.45,
