source,id,x_lines,y_lines,confidence
Swiss,1054,0.00000 0.03546 0.26224 0.47802,0.00000 0.37612 0.43606 0.56294 1.00000,verified
Swiss,42759,0.00000 0.24842 0.75788,0.00000 0.27093 0.37624 0.47975 0.59226 1.00000,verified
Swiss,42761,0.00000 0.03328 0.13711 0.25037 0.25683 0.32042 0.38997 0.41828,0.00000 0.06855 0.32042 0.32886 0.43120 0.44809 0.59762 0.65574 1.00000,verified
Swiss,42762,0.00000 0.05033 0.27609 0.37158 0.37898 0.47372 0.58031 0.58327 0.61658,0.00000 0.10141 0.10215 0.47372 0.48779 0.63583 0.64397 0.96817 1.00000,verified
Swiss,42764,0.00000 0.23892 0.33536 0.73849,0.00000 0.39531 0.42311 0.50130 0.60817 0.62554 1.00000,verified
Swiss,399,0.00000 0.03184 0.24010 0.33993 0.34423 0.74096,0.00000 0.39243 0.49914 0.60069 0.60499 1.00000,verified
Swiss,398,0.00000 0.11892 0.33247 0.61632 0.61719 0.73090,0.00000 0.11719 0.11806 0.39583 0.50087 0.60069 0.88281 1.00000,verified
Swiss,5945,0.00000 0.03962 0.19738 0.24682 0.26463 0.32061 0.37659 0.48746 0.53181 0.57216 0.63541,0.00000 0.29044 0.37659 0.45002 0.47837 0.57143 0.62704 0.71356 0.73028 0.82734 1.00000,verified
Swiss,5946,0.00000 0.04073 0.19745 0.25309 0.31636 0.37600 0.53273 0.57309 0.63236,0.00000 0.14727 0.29055 0.38364 0.45055 0.47927 0.57018 0.62655 0.64764 0.71273 0.79673 1.00000,verified
Swiss,5944,0.00000 0.04079 0.19701 0.24800 0.26766 0.32556 0.37800 0.48835 0.53277 0.57247 0.63438,0.00000 0.29206 0.38237 0.43664 0.47924 0.49818 0.57028 0.71194 0.82593 1.00000,verified
Swiss,5947,0.00000 0.04079 0.19738 0.25273 0.31682 0.37655 0.53350 0.57356 0.63328,0.00000 0.14749 0.29060 0.38383 0.45047 0.47961 0.57065 0.62673 0.64822 0.71377 0.79716 0.96977 1.00000,verified
Swiss,8293,0.00000 0.13031 0.15104 0.20138 0.31491 0.34107 0.44571 0.47384 0.57305 0.83810 0.86673 0.90819 1.00000,0.00000 0.05528 0.16584 0.20977 0.23791 0.26012 0.34501 0.36920 0.46249 0.55380 0.57108,verified
Swiss,8294,0.00000 0.32657 0.37420 0.47525 0.52661 0.57755 0.65479 0.71298 0.76869 0.93291 1.00000,0.00000 0.03044 0.06792 0.10913 0.18679 0.29571,verified
Swiss,6741,0.00000 0.41808 0.52577 0.57154 0.72269 1.00000,0.00000 0.11346 0.27385 0.35154 0.46577 0.54077 0.56192 0.61231 0.70038 0.81808,verified
Swiss,6742,0.00000 0.48079 0.51416 0.59565 0.66550 0.75475 0.96430 1.00000,0.00000 0.11447 0.21265 0.29220 0.41172 0.46954 0.49243 0.58983 0.70586,verified
Swiss,8030,0.00000 0.04523 0.14844 0.17722 0.20559 0.23150 0.27426 0.29071 0.35938 0.39145 0.44696 0.50123 0.53988 0.57360 0.62007 0.71875 0.74424 0.76398,0.00000 0.13775 0.21094 0.23972 0.28536 0.31785 0.40707 0.43174 0.49959 0.55962 0.58141 0.59951 0.65913 0.75822 0.81538 1.00000,verified
Swiss,8006,0.00000 0.05635 0.20558 0.24010 0.27919 0.31015 0.39492 0.41421 0.49898 0.53858 0.59848 0.64822 0.68223 0.74670 0.81827 0.97462 1.00000,0.00000 0.20558 0.27817 0.30102 0.32944 0.40254 0.52132 0.58782 0.82234,verified
Swiss,7992,0.00000 0.07664 0.18320 0.22582 0.24508 0.31926 0.33607 0.40451 0.43689 0.49508 0.55369 0.58115 0.67131 0.74631 0.81107,0.00000 0.16516 0.22705 0.25697 0.28238 0.30820 0.33402 0.43033 0.50041 0.55984 0.57746 0.60000 0.65984 0.75902 0.81557 1.00000,verified
